drugName
PD-173074
Bicalutamide
Embelin
5-Fluorouracil
KIN001-055
MS-275
Shikonin
Imatinib
Vorinostat
Temozolomide
Mitomycin C
Cytarabine
Phenformin
Camptothecin
Doxorubicin
Etoposide
NSC-207895
Gemcitabine
AICAR
S-Trityl-L-cysteine
Bexarotene
Cisplatin
NSC-87877
SN-38
Gefitinib
CEP-701
Methotrexate
Docetaxel
BIRB 0796
Tipifarnib
SB 216763
LY317615
Erlotinib
Lapatinib
Sorafenib
Lenalidomide
Elesclomol
Bortezomib
Cyclopamine
ATRA
Thapsigargin
T0901317
Epothilone B
MG-132
IPA-3
DMOG
piperlongumine
Nilotinib
STF-62247
CCT018159
Tubastatin A
CCT007093
Tamoxifen
FTI-277
Dasatinib
FH535
QS11
EX-527
KU-55933
Bryostatin 1
AS605240
Vinorelbine
GNF-2
Bosutinib
Sunitinib
PD-0332991
Bleomycin
Bleomycin (50 uM)
Salubrinal
LAQ824
EKB-569
Axitinib
Ispinesib Mesylate
17-AAG
Vinblastine
PIK-93
FK866
Temsirolimus
CI-1040
Belinostat
AR-42
Parthenolide
RO-3306
A-770041
Y-39983
BMS345541
PD-0325901
Midostaurin
SB 505124
(5Z)-7-Oxozeaenol
OSI-930
CP724714
PI-103
TPCA-1
TGX221
Zibotentan
Tivozanib
ZM-447439
AG-014699
EHT 1864
GW 441756
TAK-715
CHIR-99021
YM201636
SB52334
OSU-03012
Masitinib
BX-795
AS601245
Pazopanib
selumetinib
Afatinib
BAY 61-3606
Saracatinib
VX-702
681640
SL 0101-1
PHA-665752
AZD7762
YM155
MP470
NU-7441
AT-7519
GSK429286A
Obatoclax Mesylate
Nutlin-3a (-)
TW 37
Linifanib
FR-180204
JNJ-26854165
GW-2580
JNK Inhibitor VIII
CAL-101
Crizotinib
KIN001-135
VX-11e
Linsitinib
ZSTK474
AMG-706
AZ628
Trametinib
PF-562271
BX-912
WH-4-023
Veliparib
BEZ235
TAE684
GSK269962A
CMK
MLN4924
TG101348
GSK690693
BHG712
Z-LLNle-CHO
GDC0941
BMS-509744
OSI-027
Olaparib
PLX4720
CUDC-101
SNX-2112
GDC0449
BMS-754807
AP-24534
AC220
VNLG/124
CAY10603
Navitoclax
GSK-650394
XL-184
GSK1904529A
Ruxolitinib
GSK2126458
MPS-1-IN-1
JNK-9L
CX-5461
AZD8055
Foretinib
AZD6482
KIN001-266
RDEA119
Dabrafenib
CP466722
YK 4-279
PHA-793887
UNC0638
XMD8-92
XMD8-85
BMS-708163
GSK1070916
JQ1
MK-2206
I-BET-762
CH5424802
WZ-1-84
JW-7-52-1
HG-6-64-1
NG-25
LFM-A13
IOX2
SGC0946
KIN001-244
UNC1215
ZG-10
KIN001-270
PFI-1
QL-XII-47
QL-X-138
Cetuximab
AKT inhibitor VIII
XAV939
PAC-1
SB590885
BMS-536924
KIN001-260
AUY922
Talazoparib
BIX02189
